,speaker,condition_m,condition_s,mov_av_rhythm,env8_av_rhythm,env8_av_rhythmimf1,env8_av_rhythmimf2
1,acp,low ,reading1,0.909607732,4.277598307,4.699331849,2.362643486
2,acp,low ,reading2,0.904546537,4.596100279,4.989556742,2.632506758
3,acp,low ,reading3,0.888998642,4.604794683,4.960246826,2.480134842
4,acp,low ,spont speech1,0.851818988,3.862961021,4.597098409,2.204627969
5,acp,low ,spont speech2,0.847725121,2.819540486,3.337051082,1.581274847
6,acp,low ,spont speech3,0.916110457,3.545730386,4.057217165,2.056488351
7,acp,moderate ,reading1,0.926030491,4.23814329,4.595897321,2.36380009
8,acp,moderate ,reading2,0.910151692,4.250457038,4.591661907,2.409915079
9,acp,moderate ,reading3,0.900225056,4.447685016,4.763061968,2.492973237
10,acp,moderate ,spont speech1,0.923378259,3.16818954,3.535515864,1.737132353
11,acp,moderate ,spont speech2,0.921047496,3.3461835,3.693138011,1.800339978
12,acp,moderate ,spont speech3,0.926981791,2.935485049,3.095342386,1.512605042
13,brx,low ,reading1,0.961328381,4.447322971,5.096091557,2.559375339
14,brx,low ,reading2,0.963572268,4.663573086,5.151409676,2.53429435
15,brx,low ,reading3,0.973828363,4.647887324,5.281690141,2.768003753
16,brx,low ,spont speech1,0.938511327,4.469101556,4.926413633,2.348941431
17,brx,low ,spont speech2,0.95723435,4.112494868,4.877548228,2.313210008
18,brx,low ,spont speech3,0.954530319,3.623188406,4.215919488,2.072652703
19,brx,moderate ,reading1,1.047806156,4.313934864,4.933788979,2.246705552
20,brx,moderate ,reading2,1.034126163,4.493866789,4.860713057,2.358868659
21,brx,moderate ,reading3,1.028151775,4.369105885,4.967164179,2.474474474
22,brx,moderate ,spont speech1,1.060678102,3.454281567,4.310595065,1.873638344
23,brx,moderate ,spont speech2,1.063789079,3.828113179,4.524133757,2.211116159
24,brx,moderate ,spont speech3,1.062531409,3.808362619,4.425159578,2.132395175
25,byo,low ,reading1,0.709300995,4.771460424,5.395162189,2.874011362
26,byo,low ,reading2,0.749853544,4.713045439,5.232885982,2.655265527
27,byo,low ,reading3,0.786463298,4.457077885,5.318786226,2.653247941
28,byo,low ,spont speech1,0.835141442,3.685483871,4.177419355,2.019304552
29,byo,low ,spont speech2,0.761052043,3.593519882,4.565537555,2.145780334
30,byo,low ,spont speech3,0.750157928,3.854591037,4.794735193,2.275134351
31,byo,moderate ,reading1,0.681168974,4.463427656,4.953031597,2.458841137
32,byo,moderate ,reading2,0.632614808,4.456327986,4.965486529,2.429240027
33,byo,moderate ,reading3,0.606796117,4.411938186,5.255715296,2.644315901
34,byo,moderate ,spont speech1,0.601703772,3.44072568,3.96101462,1.943396226
35,byo,moderate ,spont speech2,0.571172969,3.450383753,4.075256402,1.951252677
36,byo,moderate ,spont speech3,0.606011635,3.847221671,4.288545382,2.109436955
37,csm,low ,reading1,0.87324328,4.952735987,5.365205843,2.833466987
38,csm,low ,reading2,0.840108401,4.913294798,5.517603783,2.664204695
39,csm,low ,reading3,0.831168831,4.838508542,5.284806182,2.721774194
40,csm,low ,spont speech1,0.847491188,4.143008184,5.020166817,2.320476638
41,csm,low ,spont speech2,0.878293601,4.388008698,5.304442373,2.511273519
42,csm,low ,spont speech3,0.913522435,4.131162508,4.800669507,2.399360171
43,csm,moderate ,reading1,0.973409307,4.514048825,5.021306,2.463970246
44,csm,moderate ,reading2,1.002055498,4.594219361,5.14891469,2.628221485
45,csm,moderate ,reading3,1.000641437,4.852642276,5.231746032,2.691617534
46,csm,moderate ,spont speech1,0.997283519,3.711814706,4.42448313,2.133115315
47,csm,moderate ,spont speech2,1.021310816,3.955727814,4.531106405,2.176087043
48,csm,moderate ,spont speech3,1.055321408,3.767463418,4.277295901,2.04846034
49,cvq,low ,reading1,0.810902129,4.430929626,5.058619192,2.583867115
50,cvq,low ,reading2,0.788588658,4.491883478,5.158994885,2.623096588
51,cvq,low ,reading3,0.780972666,4.569420035,4.873477038,2.624487405
52,cvq,low ,spont speech1,0.78632232,4.015344352,4.76105116,2.202848635
53,cvq,low ,spont speech2,0.864252719,4.173449756,5.120615658,2.429719619
54,cvq,low ,spont speech3,0.840163934,4.446254624,5.145436649,2.472994089
55,cvq,moderate ,reading1,0.994708995,4.128010007,4.70098804,2.271069903
56,cvq,moderate ,reading2,0.958499031,4.034929238,4.579692679,2.267255217
57,cvq,moderate ,reading3,0.953288847,4.135802469,4.709995886,2.512719344
58,cvq,moderate ,spont speech1,0.945780088,3.979313317,4.540238129,2.160648912
59,cvq,moderate ,spont speech2,0.983778913,3.740629685,4.302848576,2.126061152
60,cvq,moderate ,spont speech3,0.964842259,3.932390479,4.529628736,2.145789492
61,dwq,low ,reading1,0.847022587,5.01127537,5.335671343,2.745246191
62,dwq,low ,reading2,0.866843246,4.510218464,4.95596007,2.590673575
63,dwq,low ,reading3,0.843450479,4.787625829,5.227635293,2.659045726
64,dwq,low ,spont speech1,0.780429236,4.558319678,5.362129957,2.54691689
65,dwq,low ,spont speech2,0.802383317,4.677450789,5.527187683,2.678745753
66,dwq,low ,spont speech3,0.840537944,4.750256451,5.368279782,2.554512176
67,dwq,moderate ,reading1,1.022376543,3.799031247,4.037914692,2.143805729
68,dwq,moderate ,reading2,1.025752946,4.091100801,4.468802698,2.331002331
69,dwq,moderate ,reading3,1.050161993,4.11558669,4.553415061,2.3212526
70,dwq,moderate ,spont speech1,0.949953661,4.086963202,4.577221412,2.299823091
71,dwq,moderate ,spont speech2,1.007935612,3.923762635,4.296743874,2.025506377
72,dwq,moderate ,spont speech3,1.028435473,3.826687117,4.332822086,2.152202524
73,egb,low ,reading1,0.920510116,4.260487714,4.801046142,2.462174608
74,egb,low ,reading2,0.955867399,4.241338112,4.618753733,2.484223179
75,egb,low ,reading3,0.908388094,4.124506119,4.643992678,2.342148922
76,egb,low ,spont speech1,0.953508463,4.516866781,5.145797599,2.454065738
77,egb,low ,spont speech2,0.96709903,4.217356042,5.109252415,2.368668678
78,egb,low ,spont speech3,0.982953838,4.727474972,5.450500556,2.653061224
79,egb,moderate ,reading1,1.067683508,4.025840277,4.531410917,2.225755167
80,egb,moderate ,reading2,1.11078632,4.020677771,4.517178677,2.436450839
81,egb,moderate ,reading3,1.08190187,3.994797473,4.477057403,2.35426009
82,egb,moderate ,spont speech1,1.099902156,4.149349779,4.876415031,2.32597111
83,egb,moderate ,spont speech2,1.098759049,4.329751855,5.05244308,2.334904904
84,egb,moderate ,spont speech3,1.103193093,4.070122987,4.86363482,2.400788928
85,fpk,low ,reading1,0.987288659,4.532374101,5.107301283,2.519193858
86,fpk,low ,reading2,0.988593156,4.713804714,5.110944902,2.548895899
87,fpk,low ,reading3,1.012360212,4.463040446,5.059178464,2.601323888
88,fpk,low ,spont speech1,0.911912334,4.103458738,4.657160194,2.322845106
89,fpk,low ,spont speech2,0.885228235,4.337202199,5.093158216,2.468475353
90,fpk,low ,spont speech3,0.968732772,4.144144144,5.003915427,2.343352012
91,fpk,moderate ,reading1,1.15632644,4.219595714,4.638321369,2.410437859
92,fpk,moderate ,reading2,1.142595978,4.034969738,4.572453211,2.283922974
93,fpk,moderate ,reading3,1.140065147,4.020797227,4.551230218,2.350477077
94,fpk,moderate ,spont speech1,1.033338362,3.82270432,4.366486285,2.079982043
95,fpk,moderate ,spont speech2,1.03046595,3.877005348,4.367201426,2.177790992
96,fpk,moderate ,spont speech3,1.037996742,3.776701581,4.32562331,2.13963964
97,fws,low ,reading1,0.771144279,4.910929225,5.629736557,2.821656819
98,fws,low ,reading2,0.767516712,4.788663572,5.290102389,2.83376084
99,fws,low ,reading3,0.758150114,4.599425072,5.2,2.747252747
100,fws,low ,spont speech1,0.776564662,3.664643399,4.135053111,2.073601458
101,fws,low ,spont speech2,0.793956679,3.69266055,4.732415902,2.09736681
102,fws,low ,spont speech3,0.801740923,3.947368421,4.491833031,2.211032446
103,fws,moderate ,reading1,0.897766805,4.210526316,4.623399175,2.299349241
104,fws,moderate ,reading2,0.896860987,4.055990301,4.487461505,2.313794623
105,fws,moderate ,reading3,0.922190202,4.131757144,4.615734425,2.436802551
106,fws,moderate ,spont speech1,0.890570201,2.6139201,2.949323138,1.546331368
107,fws,moderate ,spont speech2,0.88811295,3.140133172,3.525628901,1.709983732
108,fws,moderate ,spont speech3,0.871945655,3.364952571,3.696507747,1.821108763
109,gjs,low ,reading1,0.982165934,4.591770927,5.424164524,2.65327151
110,gjs,low ,reading2,0.932090546,4.629751414,5.443786982,2.696272799
111,gjs,low ,reading3,0.91383812,4.606525912,5.140664962,2.456684769
112,gjs,low ,spont speech1,0.878577802,4.359043998,5.228136882,2.440350758
113,gjs,low ,spont speech2,0.897687653,4.419321686,5.043876986,2.496730472
114,gjs,low ,spont speech3,0.947176685,4.447974583,5.242255759,2.500451671
115,gjs,moderate ,reading1,0.988846729,3.541832217,3.584147042,1.906274821
116,gjs,moderate ,reading2,0.9941138,3.354350567,3.861892583,1.774622893
117,gjs,moderate ,spont speech1,1.017077799,3.53030303,4.140645698,2.004917723
118,gjs,moderate ,spont speech2,0.992093093,3.790098276,4.383460041,2.056574356
119,gjs,moderate ,spont speech3,0.973008036,3.642241379,4.330185631,2.083183679
120,gmm,low ,reading1,0.678458929,4.443921937,4.934210526,2.377555873
121,gmm,low ,reading2,0.729009553,4.331683168,4.774863929,2.471601548
122,gmm,low ,reading3,0.764233856,4.446628178,4.854130914,2.541013939
123,gmm,low ,spont speech1,0.75537226,4.081632653,5.007717373,2.215638284
124,gmm,low ,spont speech2,0.738916256,3.746097815,4.413239719,1.70575693
125,gmm,low ,spont speech3,0.795473184,4.226846185,5.614035088,2.356117315
126,gmm,moderate ,reading1,0.709219858,3.949850216,4.414864115,2.351636162
127,gmm,moderate ,reading2,0.684094796,4.048484848,4.484848485,2.217078816
128,gmm,moderate ,reading3,0.71942446,4.056649064,4.537270436,2.333413519
129,gmm,moderate ,spont speech1,0.638839729,3.901393355,4.715969989,2.153397392
130,gmm,moderate ,spont speech2,0.665778961,3.894491854,4.328937161,1.971207947
131,gmm,moderate ,spont speech3,0.6370876,4.182908546,4.721930745,2.242034383
132,hct,low ,reading1,0.949241925,4.836012862,5.272633745,2.699922859
133,hct,low ,reading2,0.936510123,5.054535781,5.61095599,2.883845127
134,hct,low ,reading3,0.944444444,5.133776993,5.863988055,2.828008158
135,hct,low ,spont speech1,0.813890396,3.996925442,4.611837048,2.178012083
136,hct,low ,spont speech2,0.847427951,3.777901012,4.422263811,2.18078272
137,hct,low ,spont speech3,0.890656064,3.741348626,4.492782282,2.209813473
138,hct,moderate ,reading1,1.007423118,4.971721689,5.549710679,2.944687624
139,hct,moderate ,reading2,0.964630225,4.670259174,5.106492173,2.509924446
140,hct,moderate ,reading3,0.967385296,4.890501142,5.479452055,2.76956171
141,hct,moderate ,spont speech1,0.939528528,3.45410016,4.2141711,2.004058853
142,hct,moderate ,spont speech2,0.952086075,3.971284558,4.849549412,2.283750239
143,hct,moderate ,spont speech3,0.967416863,3.462423697,3.976116615,1.90984975
144,hox,low ,reading1,1.022364217,4.72972973,5.378361476,2.805962671
145,hox,low ,reading2,1.03871577,4.495423474,5.049803104,2.640186916
146,hox,low ,reading3,1.016486922,4.661168878,5.040611562,2.609216038
147,hox,low ,spont speech1,0.965235816,4.116824608,4.559577443,2.302068751
148,hox,low ,spont speech2,0.995771921,4.158626393,4.615445201,2.23930613
149,hox,low ,spont speech3,1.034908866,3.85683431,4.296513422,2.146055273
150,hox,moderate ,reading1,0.938967136,4.147363777,4.654240653,2.315325248
151,hox,moderate ,reading2,0.977936792,4.34732339,4.834605598,2.508128193
152,hox,moderate ,reading3,1.007556675,4.359003018,4.618473896,2.362470469
153,hox,moderate ,spont speech1,0.932457634,3.45449445,3.863262934,1.92593187
154,hox,moderate ,spont speech2,0.942322039,3.13658175,3.511098974,1.694584358
155,hox,moderate ,spont speech3,0.947938048,3.60506778,3.967052044,1.929973749
156,hqn,low ,reading1,0.840791972,4.839138527,5.42048625,2.830062742
157,hqn,low ,reading2,0.8696798,4.807692308,5.307050796,2.61354986
158,hqn,low ,reading3,0.8633895,4.852780807,5.342055056,2.836105809
159,hqn,low ,spont speech1,0.76756017,3.868598003,4.60321692,2.218399668
160,hqn,low ,spont speech2,0.774526678,4.125666089,4.884108667,2.303966488
161,hqn,low ,spont speech3,0.811049791,4.197284466,4.862560102,2.366469965
162,hqn,moderate ,reading1,0.915271967,4.616360178,5.06842372,2.572920647
163,hqn,moderate ,reading2,0.909205708,4.320297952,4.790865086,2.548088933
164,hqn,moderate ,reading3,0.920326058,4.50894014,4.842677716,2.643287098
